Country,Country_Code,Year,Anxiety_Prevalence_%,Light_Intensity
Afghanistan,AFG,2019,4.8510346,975412.3916666666
Albania,ALB,2019,3.8375373,112995.15499999998
Algeria,DZA,2019,4.771976,6339409.416666667
Angola,AGO,2019,3.9340954,1145250.1525
Argentina,ARG,2019,4.982973,6922201.191666666
Australia,AUS,2019,5.8151646,6910188.649999999
Austria,AUT,2019,6.0064344,383986.3016666667
Azerbaijan,AZE,2019,2.4775383,315068.43416666664
Bangladesh,BGD,2019,3.1809232,430922.15
Belarus,BLR,2019,3.4831994,537708.7666666667
Belgium,BEL,2019,5.04724,698308.1716666667
Benin,BEN,2019,3.2288494,123405.875
Bhutan,BTN,2019,3.2678254,53241.66666666666
Bolivia,BOL,2019,5.7405457,1095980.576666667
Bosnia and Herzegovina,BIH,2019,3.5371947,202034.345
Botswana,BWA,2019,3.5533912,479075.00583333336
Brazil,BRA,2019,7.410114,15335308.166666666
Brunei,BRN,2019,2.856928,59969.875
Bulgaria,BGR,2019,3.3973696,399668.0816666667
Burkina Faso,BFA,2019,3.116734,259021.3941666667
Burundi,BDI,2019,3.6385643,22925.26
Cambodia,KHM,2019,4.579762,183207.0475
Cameroon,CMR,2019,3.1999922,401364.8066666666
Canada,CAN,2019,4.3206058,38075422.81666667
Central African Republic,CAF,2019,4.405564,499039.125
Chad,TCD,2019,3.3696513,973371.6341666668
Chile,CHL,2019,5.4619493,1533978.175
China,CHN,2019,3.1641822,32936800.166666668
Colombia,COL,2019,4.701662,1842863.6
Congo,COG,2019,3.7367034,390682.6608333333
Costa Rica,CRI,2019,4.195216,199906.4566666667
Cote d'Ivoire,CIV,2019,3.2402778,474673.6658333333
Croatia,HRV,2019,3.5950115,368394.2275
Czechia,CZE,2019,3.1539073,601038.4183333333
Democratic Republic of Congo,COD,2019,3.8151321,1760088.0591666668
Denmark,DNK,2019,4.873904,214428.0
Djibouti,DJI,2019,3.25465,23644.9625
Dominican Republic,DOM,2019,4.50035,282530.4525
East Timor,TLS,2019,3.7955263,16436.0775
Ecuador,ECU,2019,5.2311482,901461.9716666668
Egypt,EGY,2019,4.5883927,4457481.908333333
El Salvador,SLV,2019,4.4097867,74724.20916666667
Equatorial Guinea,GNQ,2019,3.80493,43888.12916666667
Eritrea,ERI,2019,3.7323155,77955.01916666667
Estonia,EST,2019,3.3788164,246626.06833333333
Eswatini,SWZ,2019,3.4919646,41797.07916666667
Ethiopia,ETH,2019,3.4656384,872411.0816666667
Fiji,FJI,2019,4.039825,17101.958333333332
Finland,FIN,2019,3.9931211,2598970.525
France,FRA,2019,6.2742558,3806349.5
Gabon,GAB,2019,3.9851205,318182.1458333333
Gambia,GMB,2019,3.3126862,14438.475
Georgia,GEO,2019,2.4950473,211143.46916666665
Germany,DEU,2019,6.208145,2262428.499166667
Ghana,GHA,2019,3.0005414,545208.7725
Greece,GRC,2019,5.7790413,939472.1975
Guatemala,GTM,2019,4.263226,257523.5075
Guinea,GIN,2019,3.3388844,274762.08
Guinea-Bissau,GNB,2019,3.0934513,31162.654166666664
Guyana,GUY,2019,4.3815017,187389.465
Haiti,HTI,2019,4.635318,31748.130833333333
Honduras,HND,2019,4.090965,241355.3966666667
Hungary,HUN,2019,3.4067228,482506.1825
Iceland,ISL,2019,5.1037683,429928.7908333333
India,IND,2019,2.9674358,14032524.35
Indonesia,IDN,2019,3.5480037,3513278.275
Iran,IRN,2019,7.26808,9021206.083333334
Iraq,IRQ,2019,5.33799,7258796.808333334
Italy,ITA,2019,5.5624604,4706510.171666667
Japan,JPN,2019,2.3241255,3290324.0483333333
Jordan,JOR,2019,4.933855,652338.9149999999
Kazakhstan,KAZ,2019,2.1156304,5444688.393333334
Kenya,KEN,2019,3.41804,628711.655
Kyrgyzstan,KGZ,2019,2.0599196,439817.5366666666
Laos,LAO,2019,4.5706754,232105.35
Latvia,LVA,2019,3.748034,228839.16583333336
Lebanon,LBN,2019,6.0510345,274815.39333333337
Liberia,LBR,2019,3.5066519,91381.32833333332
Lithuania,LTU,2019,4.2541876,229155.56916666668
Luxembourg,LUX,2019,5.2770224,40195.04
Madagascar,MDG,2019,3.9632103,469917.335
Malawi,MWI,2019,3.8456526,108560.40666666666
Malaysia,MYS,2019,4.5992527,1748978.6
Mali,MLI,2019,2.7260087,1180169.5566666666
Mauritania,MRT,2019,2.7462342,1020440.775
Mexico,MEX,2019,3.5132816,6913443.774999999
Mongolia,MNG,2019,2.1429229,2094182.2083333333
Morocco,MAR,2019,4.7997293,1470890.5916666668
Mozambique,MOZ,2019,4.035234,691789.3883333333
Myanmar,MMR,2019,3.9770174,789737.5299999999
Namibia,NAM,2019,3.49189,630370.4341666667
Nepal,NPL,2019,3.2773163,45856.87791666667
Netherlands,NLD,2019,6.7548013,1219528.2275
New Zealand,NZL,2019,7.263469,456466.4558333333
Nicaragua,NIC,2019,4.3657975,164944.29750000002
Niger,NER,2019,2.9678462,994460.0175
Nigeria,NGA,2019,2.9917774,1709108.375
Norway,NOR,2019,6.7358413,2060998.8333333333
Oman,OMN,2019,4.61154,1540837.5
Pakistan,PAK,2019,3.474194,2301941.3666666667
Panama,PAN,2019,3.6566825,181741.69333333333
Papua New Guinea,PNG,2019,3.995107,301167.655
Paraguay,PRY,2019,6.304892,726802.9891666666
Peru,PER,2019,5.551791,1451983.485833333
Philippines,PHL,2019,4.563437,595109.2875
Poland,POL,2019,3.082497,2253667.8583333334
Portugal,PRT,2019,8.02761,1063269.3525
Romania,ROU,2019,3.2856169,1003810.4583333334
Russia,RUS,2019,3.1336958,61560815.45
Rwanda,RWA,2019,3.6533618,37425.78333333333
Samoa,WSM,2019,4.027854,2663.3216666666667
Sao Tome and Principe,STP,2019,3.0837884,2255.0125
Senegal,SEN,2019,2.8934357,246044.31
Serbia,SRB,2019,3.33539,596323.9833333333
Sierra Leone,SLE,2019,3.6633224,72709.96333333333
Slovakia,SVK,2019,3.4256656,247594.30833333332
Slovenia,SVN,2019,3.3891728,96903.71166666668
Solomon Islands,SLB,2019,4.0285625,15458.229166666666
South Africa,ZAF,2019,3.786144,3047841.35
South Korea,KOR,2019,3.2213244,2091137.6908333327
Spain,ESP,2019,4.8611727,3969484.27
Sri Lanka,LKA,2019,4.0355477,160854.5425
Sudan,SDN,2019,4.745971,1584691.715833333
Suriname,SUR,2019,4.141955,154474.92416666666
Sweden,SWE,2019,4.795127,2233516.2816666667
Switzerland,CHE,2019,6.79061,275540.35583333333
Syria,SYR,2019,5.60757,548343.7908333334
Tajikistan,TJK,2019,2.4035394,308884.0891666667
Tanzania,TZA,2019,3.8125863,792460.9983333334
Thailand,THA,2019,3.399738,2234444.0058333334
Togo,TGO,2019,3.592497,76933.7925
Tunisia,TUN,2019,5.164141,721999.265
Turkey,TUR,2019,4.513604,5700211.416666667
Uganda,UGA,2019,4.080157,240034.58
Ukraine,UKR,2019,3.133128,1899029.1058333328
United Kingdom,GBR,2019,4.4602027,2133689.45
United States,USA,2019,5.6977477,61066463.41666666
Uruguay,URY,2019,5.1539445,435292.3483333333
Uzbekistan,UZB,2019,2.0256548,1069483.5533333337
Vanuatu,VUT,2019,4.02928,8279.046666666667
Venezuela,VEN,2019,3.9995134,4943078.774999999
Vietnam,VNM,2019,2.2873394,2518099.5166666666
Yemen,YEM,2019,4.7837157,561294.8616666667
Zambia,ZMB,2019,3.9692068,645887.6833333333
Zimbabwe,ZWE,2019,3.1370168,352069.0158333333
